Voltage (kV),Bus Number,Bus Name,Area,Zone,Voltage (pu),Mnemonic,Category,Action
22.0,2104,,SPPG,SPPG,1.0129,,Empty Name,No action - correctly unlinked
22.0,2105,,SPPG,SPPG,0.9953,,Empty Name,No action - correctly unlinked
22.0,2111,,SPPG,SPPG,1.0092,,Empty Name,No action - correctly unlinked
22.0,2112,,SPPG,SPPG,1.0092,,Empty Name,No action - correctly unlinked
22.0,2113,,SPPG,SPPG,1.0092,,Empty Name,No action - correctly unlinked
22.0,2114,,SPPG,SPPG,1.0092,,Empty Name,No action - correctly unlinked
22.0,2121,,SPPG,SPPG,1.0305,,Empty Name,No action - correctly unlinked
22.0,2122,,SPPG,SPPG,1.0307,,Empty Name,No action - correctly unlinked
22.0,2123,,SPPG,SPPG,1.0309,,Empty Name,No action - correctly unlinked
22.0,2124,,SPPG,SPPG,1.0000,,Empty Name,No action - correctly unlinked
22.0,2141,,SPPG,SPPG,1.0051,,Empty Name,No action - correctly unlinked
22.0,2142,,SPPG,SPPG,1.0051,,Empty Name,No action - correctly unlinked
22.0,2143,,SPPG,SPPG,1.0051,,Empty Name,No action - correctly unlinked
22.0,2144,,SPPG,SPPG,1.0051,,Empty Name,No action - correctly unlinked
22.0,2145,,SPPG,SPPG,1.0049,,Empty Name,No action - correctly unlinked
22.0,2146,,SPPG,SPPG,1.0778,,Empty Name,No action - correctly unlinked
22.0,2161,,SPPG,SPPG,0.9908,,Empty Name,No action - correctly unlinked
22.0,2162,,SPPG,SPPG,0.9908,,Empty Name,No action - correctly unlinked
22.0,2163,,SPPG,SPPG,0.9908,,Empty Name,No action - correctly unlinked
22.0,2164,,SPPG,SPPG,0.9895,,Empty Name,No action - correctly unlinked
22.0,2171,,SPPG,SPPG,1.0096,,Empty Name,No action - correctly unlinked
22.0,2172,,SPPG,SPPG,1.0096,,Empty Name,No action - correctly unlinked
22.0,2173,,SPPG,SPPG,1.0096,,Empty Name,No action - correctly unlinked
22.0,2174,,SPPG,SPPG,1.0598,,Empty Name,No action - correctly unlinked
22.0,2181,,SPPG,SPPG,0.9980,,Empty Name,No action - correctly unlinked
22.0,2182,,SPPG,SPPG,1.0226,,Empty Name,No action - correctly unlinked
22.0,2183,,SPPG,SPPG,0.9980,,Empty Name,No action - correctly unlinked
22.0,2184,,SPPG,SPPG,0.9980,,Empty Name,No action - correctly unlinked
22.0,2201,,SPPG,SPPG,1.0230,,Empty Name,No action - correctly unlinked
22.0,2202,,SPPG,SPPG,1.0230,,Empty Name,No action - correctly unlinked
22.0,2203,,SPPG,SPPG,1.0230,,Empty Name,No action - correctly unlinked
22.0,2211,,SPPG,SPPG,1.0024,,Empty Name,No action - correctly unlinked
22.0,2212,,SPPG,SPPG,1.0024,,Empty Name,No action - correctly unlinked
22.0,2213,,SPPG,SPPG,1.0024,,Empty Name,No action - correctly unlinked
22.0,2214,,SPPG,SPPG,1.0432,,Empty Name,No action - correctly unlinked
22.0,2221,,SPPG,SPPG,1.0580,,Empty Name,No action - correctly unlinked
22.0,2222,,SPPG,SPPG,1.0580,,Empty Name,No action - correctly unlinked
22.0,2223,,SPPG,SPPG,1.0580,,Empty Name,No action - correctly unlinked
22.0,2224,,SPPG,SPPG,1.0596,,Empty Name,No action - correctly unlinked
22.0,2225,,SPPG,SPPG,1.0578,,Empty Name,No action - correctly unlinked
22.0,2251,,SPPG,SPPG,0.9887,,Empty Name,No action - correctly unlinked
22.0,2252,,SPPG,SPPG,0.9887,,Empty Name,No action - correctly unlinked
22.0,2253,,SPPG,SPPG,0.9888,,Empty Name,No action - correctly unlinked
22.0,2261,,SPPG,SPPG,1.0279,,Empty Name,No action - correctly unlinked
22.0,2262,,SPPG,SPPG,1.0282,,Empty Name,No action - correctly unlinked
22.0,2263,,SPPG,SPPG,1.0283,,Empty Name,No action - correctly unlinked
22.0,2301,,SPPG,SPPG,1.0130,,Empty Name,No action - correctly unlinked
22.0,2302,,SPPG,SPPG,1.0130,,Empty Name,No action - correctly unlinked
22.0,2303,,SPPG,SPPG,1.0130,,Empty Name,No action - correctly unlinked
22.0,3021,,SPPG,SPPG,1.0221,,Empty Name,No action - correctly unlinked
22.0,3022,,SPPG,SPPG,1.0220,,Empty Name,No action - correctly unlinked
22.0,3023,,SPPG,SPPG,1.0221,,Empty Name,No action - correctly unlinked
22.0,3024,,SPPG,SPPG,1.0221,,Empty Name,No action - correctly unlinked
22.0,3031,,SPPG,SPPG,1.0220,,Empty Name,No action - correctly unlinked
22.0,3032,,SPPG,SPPG,1.0220,,Empty Name,No action - correctly unlinked
22.0,3034,,SPPG,SPPG,1.0220,,Empty Name,No action - correctly unlinked
22.0,3115,,SPPG,SPPG,1.0593,,Empty Name,No action - correctly unlinked
22.0,3131,,SPPG,SPPG,1.0851,,Empty Name,No action - correctly unlinked
22.0,3132,,SPPG,SPPG,0.9922,,Empty Name,No action - correctly unlinked
22.0,3133,,SPPG,SPPG,1.0851,,Empty Name,No action - correctly unlinked
22.0,3134,,SPPG,SPPG,1.0000,,Empty Name,No action - correctly unlinked
22.0,3211,,SPPG,SPPG,0.9857,,Empty Name,No action - correctly unlinked
22.0,3212,,SPPG,SPPG,0.9857,,Empty Name,No action - correctly unlinked
22.0,3217,,SPPG,SPPG,0.9984,,Empty Name,No action - correctly unlinked
22.0,3218,,SPPG,SPPG,0.9984,,Empty Name,No action - correctly unlinked
22.0,6075,,SPPG,SPPG,0.9884,,Empty Name,No action - correctly unlinked
22.0,7076,,SPPG,SPPG,1.0182,,Empty Name,No action - correctly unlinked
22.0,7077,,SPPG,SPPG,1.0182,,Empty Name,No action - correctly unlinked
22.0,11501,,SPPG,SPPG,0.9890,,Empty Name,No action - correctly unlinked
22.0,11502,,SPPG,SPPG,0.9952,,Empty Name,No action - correctly unlinked
22.0,19954,,SPPG,SPPG,0.9916,,Empty Name,No action - correctly unlinked
22.0,19955,,SPPG,SPPG,0.9916,,Empty Name,No action - correctly unlinked
22.0,97971,PCGPGT11,TNB,JOHOR,1.0116,PCGPGT,Generator Terminal,No action - correctly unlinked
22.0,97972,PCGPGT12,TNB,JOHOR,1.0184,PCGPGT,Generator Terminal,No action - correctly unlinked
22.0,97973,PCGPGT21,TNB,JOHOR,1.0188,PCGPGT,Generator Terminal,No action - correctly unlinked
22.0,97974,PCGPGT22,TNB,JOHOR,1.0116,PCGPGT,Generator Terminal,No action - correctly unlinked
11.0,12555,,SPPG,SPPG,1.0009,,Empty Name,No action - correctly unlinked
11.0,19911,,SPPG,SPPG,0.9964,,Empty Name,No action - correctly unlinked
11.0,19912,,SPPG,SPPG,0.9964,,Empty Name,No action - correctly unlinked
11.0,19913,,SPPG,SPPG,1.0000,,Empty Name,No action - correctly unlinked
11.0,19914,,SPPG,SPPG,0.9952,,Empty Name,No action - correctly unlinked
11.0,62906,GLGRST1,TNB,P PINANG,1.0360,GLGRST,Generator Terminal,No action - correctly unlinked
11.0,9300,NURGT1A,TNB,KEDAH,1.0247,NURGT,Generator Terminal,No action - correctly unlinked
11.0,9301,NURGT1B,TNB,KEDAH,1.0247,NURGT,Generator Terminal,No action - correctly unlinked
11.0,9303,NURGT2A,TNB,KEDAH,1.0247,NURGT,Generator Terminal,No action - correctly unlinked
11.0,9304,NURGT2B,TNB,KEDAH,1.0247,NURGT,Generator Terminal,No action - correctly unlinked
11.0,9302,NURST1C,TNB,KEDAH,1.0247,NURST,Generator Terminal,No action - correctly unlinked
11.0,9305,NURST2C,TNB,KEDAH,1.0247,NURST,Generator Terminal,No action - correctly unlinked
