Bus Number,Bus Name,Base kV,Area,Zone,Voltage (pu),Potential Mnemonic,Category
12121,,66.0,SPPG        ,SPPG        ,1.0037,,Empty Name
12201,,66.0,SPPG        ,SPPG        ,0.9987,,Empty Name
12202,,66.0,SPPG        ,SPPG        ,0.9911,,Empty Name
12203,,66.0,SPPG        ,SPPG        ,0.9905,,Empty Name
12204,,66.0,SPPG        ,SPPG        ,0.9984,,Empty Name
12205,,66.0,SPPG        ,SPPG        ,0.9964,,Empty Name
12206,,66.0,SPPG        ,SPPG        ,0.9911,,Empty Name
12207,,66.0,SPPG        ,SPPG        ,0.9974,,Empty Name
12208,,66.0,SPPG        ,SPPG        ,0.9987,,Empty Name
12210,,66.0,SPPG        ,SPPG        ,0.9911,,Empty Name
12212,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
12213,,66.0,SPPG        ,SPPG        ,0.9972,,Empty Name
12214,,66.0,SPPG        ,SPPG        ,0.9972,,Empty Name
12215,,66.0,SPPG        ,SPPG        ,0.9986,,Empty Name
12216,,66.0,SPPG        ,SPPG        ,0.9959,,Empty Name
12501,,66.0,SPPG        ,SPPG        ,0.9915,,Empty Name
12502,,66.0,SPPG        ,SPPG        ,0.9912,,Empty Name
12503,,66.0,SPPG        ,SPPG        ,0.9914,,Empty Name
12504,,66.0,SPPG        ,SPPG        ,0.9914,,Empty Name
12505,,66.0,SPPG        ,SPPG        ,0.9911,,Empty Name
12507,,66.0,SPPG        ,SPPG        ,0.9912,,Empty Name
12509,,66.0,SPPG        ,SPPG        ,0.9904,,Empty Name
12601,,66.0,SPPG        ,SPPG        ,0.9890,,Empty Name
12602,,66.0,SPPG        ,SPPG        ,0.9864,,Empty Name
12603,,66.0,SPPG        ,SPPG        ,0.9838,,Empty Name
12606,,66.0,SPPG        ,SPPG        ,0.9861,,Empty Name
12610,,66.0,SPPG        ,SPPG        ,0.9881,,Empty Name
13001,,66.0,SPPG        ,SPPG        ,0.9939,,Empty Name
13003,,66.0,SPPG        ,SPPG        ,0.9898,,Empty Name
13004,,66.0,SPPG        ,SPPG        ,0.9892,,Empty Name
13005,,66.0,SPPG        ,SPPG        ,0.9903,,Empty Name
13301,,66.0,SPPG        ,SPPG        ,0.9899,,Empty Name
13302,,66.0,SPPG        ,SPPG        ,0.9870,,Empty Name
13304,,66.0,SPPG        ,SPPG        ,0.9891,,Empty Name
13306,,66.0,SPPG        ,SPPG        ,0.9890,,Empty Name
13307,,66.0,SPPG        ,SPPG        ,0.9891,,Empty Name
13309,,66.0,SPPG        ,SPPG        ,0.9865,,Empty Name
20708,,66.0,SPPG        ,SPPG        ,1.0031,,Empty Name
30708,,66.0,SPPG        ,SPPG        ,1.0011,,Empty Name
40112,,66.0,SPPG        ,SPPG        ,0.9959,,Empty Name
40202,,66.0,SPPG        ,SPPG        ,0.9976,,Empty Name
40301,,66.0,SPPG        ,SPPG        ,1.0101,,Empty Name
40504,,66.0,SPPG        ,SPPG        ,0.9942,,Empty Name
40505,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
40510,,66.0,SPPG        ,SPPG        ,0.9954,,Empty Name
40605,,66.0,SPPG        ,SPPG        ,0.9912,,Empty Name
40706,,66.0,SPPG        ,SPPG        ,0.9947,,Empty Name
40807,,66.0,SPPG        ,SPPG        ,1.0059,,Empty Name
40808,,66.0,SPPG        ,SPPG        ,1.0053,,Empty Name
41011,,66.0,SPPG        ,SPPG        ,1.0089,,Empty Name
41104,,66.0,SPPG        ,SPPG        ,1.0105,,Empty Name
41206,,66.0,SPPG        ,SPPG        ,1.0105,,Empty Name
41309,,66.0,SPPG        ,SPPG        ,1.0039,,Empty Name
41310,,66.0,SPPG        ,SPPG        ,1.0039,,Empty Name
41404,,66.0,SPPG        ,SPPG        ,0.9996,,Empty Name
41405,,66.0,SPPG        ,SPPG        ,1.0046,,Empty Name
41408,,66.0,SPPG        ,SPPG        ,0.9996,,Empty Name
41602,,66.0,SPPG        ,SPPG        ,0.9903,,Empty Name
41603,,66.0,SPPG        ,SPPG        ,1.0053,,Empty Name
41701,,66.0,SPPG        ,SPPG        ,0.9949,,Empty Name
41801,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
42101,,66.0,SPPG        ,SPPG        ,0.9914,,Empty Name
42105,,66.0,SPPG        ,SPPG        ,0.9896,,Empty Name
42205,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
42216,,66.0,SPPG        ,SPPG        ,0.9880,,Empty Name
42601,,66.0,SPPG        ,SPPG        ,1.0004,,Empty Name
42606,,66.0,SPPG        ,SPPG        ,1.0029,,Empty Name
43003,,66.0,SPPG        ,SPPG        ,0.9780,,Empty Name
43004,,66.0,SPPG        ,SPPG        ,1.0059,,Empty Name
43301,,66.0,SPPG        ,SPPG        ,1.0051,,Empty Name
50301,,66.0,SPPG        ,SPPG        ,1.0101,,Empty Name
50505,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
50706,,66.0,SPPG        ,SPPG        ,0.9948,,Empty Name
51104,,66.0,SPPG        ,SPPG        ,1.0105,,Empty Name
51310,,66.0,SPPG        ,SPPG        ,1.0040,,Empty Name
51603,,66.0,SPPG        ,SPPG        ,0.9870,,Empty Name
51701,,66.0,SPPG        ,SPPG        ,0.9922,,Empty Name
51801,,66.0,SPPG        ,SPPG        ,1.0051,,Empty Name
52101,,66.0,SPPG        ,SPPG        ,0.9914,,Empty Name
52105,,66.0,SPPG        ,SPPG        ,0.9896,,Empty Name
52606,,66.0,SPPG        ,SPPG        ,1.0101,,Empty Name
53003,,66.0,SPPG        ,SPPG        ,0.9967,,Empty Name
53301,,66.0,SPPG        ,SPPG        ,1.0051,,Empty Name
61603,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
61801,,66.0,SPPG        ,SPPG        ,1.0032,,Empty Name
62606,,66.0,SPPG        ,SPPG        ,1.0101,,Empty Name
63301,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
12112,,132.0,SPPG        ,SPPG        ,1.0032,,Empty Name
97160,ASTM132,132.0,TNB         ,JOHOR       ,1.0289,ASTM,Potentially Linkable
174125,GNTG132_T1,132.0,TNB         ,WPKL        ,1.0322,GNTG,Generator Terminal
61138,GRNPV132,132.0,TNB         ,P PINANG    ,1.0251,GRNPV,Potentially Linkable
96167,JSNPV132R,132.0,TNB         ,MELAKA      ,1.0161,JSNPV,Potentially Linkable
1962,KHTE132,132.0,TNB         ,P PINANG    ,1.0000,KHTE,Potentially Linkable
163131,LMTMFIC,132.0,TNB         ,PERAK       ,1.0199,LMTMFIC,Temporary/Fictitious
62146,MWTA132,132.0,TNB         ,P PINANG    ,1.0124,MWTA,Potentially Linkable
562146,MWTA132R,132.0,TNB         ,P PINANG    ,1.0127,MWTA,Potentially Linkable
1960,NURG132,132.0,TNB         ,KEDAH       ,1.0247,NURG,Generator Terminal
74165,RLCC,132.0,TNB         ,PAHANG      ,1.0344,RLCC,Potentially Linkable
106,SDAOFIC,132.0,TNB         ,PERLIS      ,1.0229,SDAOFIC,Temporary/Fictitious
151044,SGL-T1,132.0,TNB         ,SELANGOR    ,1.0326,SGL,Generator Terminal
251044,SGL-T2,132.0,TNB         ,SELANGOR    ,1.0326,SGL,Generator Terminal
74157,TAGP132,132.0,TNB         ,PAHANG      ,1.0285,TAGP,Potentially Linkable
174157,TAGP132T,132.0,TNB         ,PAHANG      ,1.0285,TAGP,Potentially Linkable
12302,,230.0,SPPG        ,SPPG        ,1.0172,,Empty Name
12303,,230.0,SPPG        ,SPPG        ,1.0179,,Empty Name
12306,,230.0,SPPG        ,SPPG        ,1.0093,,Empty Name
12307,,230.0,SPPG        ,SPPG        ,1.0107,,Empty Name
12308,,230.0,SPPG        ,SPPG        ,0.9940,,Empty Name
12311,,230.0,SPPG        ,SPPG        ,0.9955,,Empty Name
12313,,230.0,SPPG        ,SPPG        ,0.9979,,Empty Name
12314,,230.0,SPPG        ,SPPG        ,1.0093,,Empty Name
12315,,230.0,SPPG        ,SPPG        ,0.9965,,Empty Name
12316,,230.0,SPPG        ,SPPG        ,1.0144,,Empty Name
12317,,230.0,SPPG        ,SPPG        ,0.9959,,Empty Name
12318,,230.0,SPPG        ,SPPG        ,1.0168,,Empty Name
12319,,230.0,SPPG        ,SPPG        ,1.0080,,Empty Name
12320,,230.0,SPPG        ,SPPG        ,1.0195,,Empty Name
12321,,230.0,SPPG        ,SPPG        ,1.0081,,Empty Name
12323,,230.0,SPPG        ,SPPG        ,1.0082,,Empty Name
12324,,230.0,SPPG        ,SPPG        ,1.0131,,Empty Name
12325,,230.0,SPPG        ,SPPG        ,1.0132,,Empty Name
12326,,230.0,SPPG        ,SPPG        ,1.0180,,Empty Name
12330,,230.0,SPPG        ,SPPG        ,0.9957,,Empty Name
12332,,230.0,SPPG        ,SPPG        ,1.0131,,Empty Name
12333,,230.0,SPPG        ,SPPG        ,1.0131,,Empty Name
12334,,230.0,SPPG        ,SPPG        ,1.0132,,Empty Name
12340,,230.0,SPPG        ,SPPG        ,1.0109,,Empty Name
12387,,230.0,SPPG        ,SPPG        ,1.0133,,Empty Name
12399,,230.0,SPPG        ,SPPG        ,1.0142,,Empty Name
42301,,230.0,SPPG        ,SPPG        ,1.0055,,Empty Name
42305,,230.0,SPPG        ,SPPG        ,0.9966,,Empty Name
42308,,230.0,SPPG        ,SPPG        ,1.0195,,Empty Name
42311,,230.0,SPPG        ,SPPG        ,1.0180,,Empty Name
42313,,230.0,SPPG        ,SPPG        ,1.0083,,Empty Name
42318,,230.0,SPPG        ,SPPG        ,1.0194,,Empty Name
42321,,230.0,SPPG        ,SPPG        ,1.0134,,Empty Name
52308,,230.0,SPPG        ,SPPG        ,1.0195,,Empty Name
52311,,230.0,SPPG        ,SPPG        ,1.0000,,Empty Name
52321,,230.0,SPPG        ,SPPG        ,1.0135,,Empty Name
62305,,230.0,SPPG        ,SPPG        ,0.9966,,Empty Name
62307,,230.0,SPPG        ,SPPG        ,1.0109,,Empty Name
62321,,230.0,SPPG        ,SPPG        ,1.0134,,Empty Name
72304,,230.0,SPPG        ,SPPG        ,1.0051,,Empty Name
72307,,230.0,SPPG        ,SPPG        ,1.0109,,Empty Name
72310,,230.0,SPPG        ,SPPG        ,0.9964,,Empty Name
72318,,230.0,SPPG        ,SPPG        ,1.0194,,Empty Name
72322,,230.0,SPPG        ,SPPG        ,1.0058,,Empty Name
82301,,230.0,SPPG        ,SPPG        ,1.0055,,Empty Name
82304,,230.0,SPPG        ,SPPG        ,1.0000,,Empty Name
82305,,230.0,SPPG        ,SPPG        ,1.0129,,Empty Name
82307,,230.0,SPPG        ,SPPG        ,1.0109,,Empty Name
82310,,230.0,SPPG        ,SPPG        ,0.9964,,Empty Name
82322,,230.0,SPPG        ,SPPG        ,1.0138,,Empty Name
92301,,230.0,SPPG        ,SPPG        ,1.0133,,Empty Name
90682,KNE,230.0,EGAT        ,EGAT        ,1.0000,KNE,Potentially Linkable
90683,KNE_2,230.0,EGAT        ,EGAT        ,1.0000,KNE,Potentially Linkable
163213,ATWRFIC,275.0,TNB         ,PERAK       ,1.0188,ATWRFIC,Temporary/Fictitious
197227,BPHEFIC1,275.0,TNB         ,JOHOR       ,1.0312,BPHEFIC,Temporary/Fictitious
297227,BPHEFIC2,275.0,TNB         ,JOHOR       ,1.0312,BPHEFIC,Temporary/Fictitious
161214,HVDC,275.0,EGAT        ,EGAT        ,1.0344,HVDC,Potentially Linkable
552027,OLPTLHS,275.0,TNB         ,SELANGOR    ,1.0208,OLPTLHS,Potentially Linkable
52027,OLPTRHS,275.0,TNB         ,SELANGOR    ,1.0236,OLPTRHS,Potentially Linkable
3184,PGLAGTB1,275.0,TNB         ,MELAKA      ,1.0312,PGLAGTB,Generator Terminal
3185,PGLAGTB2,275.0,TNB         ,MELAKA      ,1.0312,PGLAGTB,Generator Terminal
3186,PGLASTB3,275.0,TNB         ,MELAKA      ,1.0312,PGLASTB,Potentially Linkable
388208,SRYAFIC1,275.0,TNB         ,WPKL        ,1.0339,SRYAFIC,Temporary/Fictitious
488208,SRYAFIC2,275.0,TNB         ,WPKL        ,1.0339,SRYAFIC,Temporary/Fictitious
2595,TJGSM1A,275.0,TNB         ,NS          ,1.0261,TJGSM,Potentially Linkable
2597,TJGSM1B,275.0,TNB         ,NS          ,1.0261,TJGSM,Potentially Linkable
75209,YPKA275,275.0,TNB         ,TGANU       ,1.0000,YPKA,Potentially Linkable
14005,,400.0,SPPG        ,SPPG        ,1.0155,,Empty Name
14008,,400.0,SPPG        ,SPPG        ,1.0132,,Empty Name
14010,,400.0,SPPG        ,SPPG        ,1.0164,,Empty Name
14013,,400.0,SPPG        ,SPPG        ,1.0161,,Empty Name
14016,,400.0,SPPG        ,SPPG        ,1.0146,,Empty Name
14030,,400.0,SPPG        ,SPPG        ,1.0138,,Empty Name
14032,,400.0,SPPG        ,SPPG        ,1.0160,,Empty Name
44013,,400.0,SPPG        ,SPPG        ,0.9829,,Empty Name
54013,,400.0,SPPG        ,SPPG        ,0.9829,,Empty Name
