Bus Number,Bus Name,Base kV,Area,Zone,Voltage (pu),Potential Mnemonic,Category
19965,,21.0,SPPG        ,SPPG        ,1.0041,,Empty Name
62902,PRAIGT1,21.0,TNB         ,P PINANG    ,1.0346,PRAIGT,Generator Terminal
62903,PRAIGT2,21.0,TNB         ,P PINANG    ,1.0346,PRAIGT,Generator Terminal
2011,,22.0,SPPG        ,SPPG        ,1.0258,,Empty Name
2013,,22.0,SPPG        ,SPPG        ,1.0257,,Empty Name
2014,,22.0,SPPG        ,SPPG        ,1.0256,,Empty Name
2025,,22.0,SPPG        ,SPPG        ,1.0035,,Empty Name
2033,,22.0,SPPG        ,SPPG        ,0.9974,,Empty Name
2041,,22.0,SPPG        ,SPPG        ,0.9836,,Empty Name
2042,,22.0,SPPG        ,SPPG        ,1.0000,,Empty Name
2051,,22.0,SPPG        ,SPPG        ,1.0368,,Empty Name
2052,,22.0,SPPG        ,SPPG        ,1.0376,,Empty Name
2053,,22.0,SPPG        ,SPPG        ,1.0375,,Empty Name
2054,,22.0,SPPG        ,SPPG        ,1.0378,,Empty Name
2061,,22.0,SPPG        ,SPPG        ,1.0125,,Empty Name
2062,,22.0,SPPG        ,SPPG        ,1.0125,,Empty Name
2063,,22.0,SPPG        ,SPPG        ,1.0132,,Empty Name
2064,,22.0,SPPG        ,SPPG        ,1.0131,,Empty Name
2071,,22.0,SPPG        ,SPPG        ,1.0037,,Empty Name
2072,,22.0,SPPG        ,SPPG        ,1.0449,,Empty Name
2073,,22.0,SPPG        ,SPPG        ,1.0450,,Empty Name
2074,,22.0,SPPG        ,SPPG        ,1.0025,,Empty Name
2078,,22.0,SPPG        ,SPPG        ,1.0000,,Empty Name
2081,,22.0,SPPG        ,SPPG        ,0.9966,,Empty Name
2082,,22.0,SPPG        ,SPPG        ,0.9966,,Empty Name
2083,,22.0,SPPG        ,SPPG        ,0.9966,,Empty Name
2084,,22.0,SPPG        ,SPPG        ,0.9967,,Empty Name
2085,,22.0,SPPG        ,SPPG        ,0.9967,,Empty Name
2101,,22.0,SPPG        ,SPPG        ,0.9953,,Empty Name
2102,,22.0,SPPG        ,SPPG        ,0.9953,,Empty Name
2103,,22.0,SPPG        ,SPPG        ,0.9967,,Empty Name
2104,,22.0,SPPG        ,SPPG        ,1.0129,,Empty Name
2105,,22.0,SPPG        ,SPPG        ,0.9953,,Empty Name
2111,,22.0,SPPG        ,SPPG        ,1.0092,,Empty Name
2112,,22.0,SPPG        ,SPPG        ,1.0092,,Empty Name
2113,,22.0,SPPG        ,SPPG        ,1.0092,,Empty Name
2114,,22.0,SPPG        ,SPPG        ,1.0092,,Empty Name
2121,,22.0,SPPG        ,SPPG        ,1.0305,,Empty Name
2122,,22.0,SPPG        ,SPPG        ,1.0307,,Empty Name
2123,,22.0,SPPG        ,SPPG        ,1.0309,,Empty Name
2124,,22.0,SPPG        ,SPPG        ,1.0000,,Empty Name
2141,,22.0,SPPG        ,SPPG        ,1.0051,,Empty Name
2142,,22.0,SPPG        ,SPPG        ,1.0051,,Empty Name
2143,,22.0,SPPG        ,SPPG        ,1.0051,,Empty Name
2144,,22.0,SPPG        ,SPPG        ,1.0051,,Empty Name
2145,,22.0,SPPG        ,SPPG        ,1.0049,,Empty Name
2146,,22.0,SPPG        ,SPPG        ,1.0778,,Empty Name
2161,,22.0,SPPG        ,SPPG        ,0.9908,,Empty Name
2162,,22.0,SPPG        ,SPPG        ,0.9908,,Empty Name
2163,,22.0,SPPG        ,SPPG        ,0.9908,,Empty Name
2164,,22.0,SPPG        ,SPPG        ,0.9895,,Empty Name
2171,,22.0,SPPG        ,SPPG        ,1.0096,,Empty Name
2172,,22.0,SPPG        ,SPPG        ,1.0096,,Empty Name
2173,,22.0,SPPG        ,SPPG        ,1.0096,,Empty Name
2174,,22.0,SPPG        ,SPPG        ,1.0598,,Empty Name
2181,,22.0,SPPG        ,SPPG        ,0.9980,,Empty Name
2182,,22.0,SPPG        ,SPPG        ,1.0226,,Empty Name
2183,,22.0,SPPG        ,SPPG        ,0.9980,,Empty Name
2184,,22.0,SPPG        ,SPPG        ,0.9980,,Empty Name
2201,,22.0,SPPG        ,SPPG        ,1.0230,,Empty Name
2202,,22.0,SPPG        ,SPPG        ,1.0230,,Empty Name
2203,,22.0,SPPG        ,SPPG        ,1.0230,,Empty Name
2211,,22.0,SPPG        ,SPPG        ,1.0024,,Empty Name
2212,,22.0,SPPG        ,SPPG        ,1.0024,,Empty Name
2213,,22.0,SPPG        ,SPPG        ,1.0024,,Empty Name
2214,,22.0,SPPG        ,SPPG        ,1.0432,,Empty Name
2221,,22.0,SPPG        ,SPPG        ,1.0580,,Empty Name
2222,,22.0,SPPG        ,SPPG        ,1.0580,,Empty Name
2223,,22.0,SPPG        ,SPPG        ,1.0580,,Empty Name
2224,,22.0,SPPG        ,SPPG        ,1.0596,,Empty Name
2225,,22.0,SPPG        ,SPPG        ,1.0578,,Empty Name
2251,,22.0,SPPG        ,SPPG        ,0.9887,,Empty Name
2252,,22.0,SPPG        ,SPPG        ,0.9887,,Empty Name
2253,,22.0,SPPG        ,SPPG        ,0.9888,,Empty Name
2261,,22.0,SPPG        ,SPPG        ,1.0279,,Empty Name
2262,,22.0,SPPG        ,SPPG        ,1.0282,,Empty Name
